,species,Longitude (degrees),lat,AMT,max temp,Tmin,AMP,Clay,Country,,,,,,,,  
,,,,,,,,,,,,,,,,,
1,Festuca arundinacea,-72.13,-51.67,58,164,-39,391,31.55999947,AUS,,,,,,,, 
2,Festuca arundinacea,-70.62,-51.38,66,175,-30,172,31.04999924,AUS,,,,,,,, 
3,Lycium barbarum,-70.62,-51.38,66,175,-30,172,31.04999924,AUS,,,,,,,, 
4,Festuca arundinacea,168.66495,-46.56945,10,190,9,1128,41,AUS,,,,,,,, 
5,Festuca arundinacea,168.73071,-46.56891,10,191,9,1148,41,AUS,,,,,,,,   
6,Festuca arundinacea,169.47878,-46.559834,98,190,7,1131,4,AUS,,,,,,,,   
7,Festuca arundinacea,169.68292,-46.48182,99,190,8,927,16.91566277,AUS,,,,,,,,    
8,Festuca arundinacea,169.77547,-46.32535,103,195,11,717,23,,,,,,,,,          
9,Galium palustre,169.82523,-46.200645,102,196,8,702,23,,,,,,,,,        
10,Festuca arundinacea,170.50644,-45.8819,104,189,17,884,23,,,,,,,,,
11,Festuca arundinacea,-115.326233,43.068888,102,189,16,859,23,NA,,,,,,,,
12,Fumaria ((muralis)),170.49046,-45.85635,98,187,10,972,23,,,,,,,,,
13,Fallopia convolvulus,170.38522,-45.855015,103,191,15,816,23,AUS,,,,,,,, 
14,Euphorbia helioscopia,170 51675,-45.848396,104,189,-9999,884,23,AUS,,,,,,,, 
15,Euphorbia helioscopia,170.61676,-45.848396,102,189,16,859,23,AUS,,,,,,,, 
16,Festuca arundinacea,-72.1333,-45.5833,72,170,-8,1318,7,AUS,,,,,,,,
17,Festuca 'arundinacea',170.83173,-45.170017,108,205,12,592,22,AUS,,,,,,,, 
18,Festuca arundinacea,168.43652,-44.072456,110,216,10,4.586,9,AUS,,,,,,,, 
19,Festuca arundinacea,168.42442,-44.063896,110,216,10,4.586,9,AUS,,,,,,,, 
20,Festuca arundinacea,168.40633,-44.038727,114,217,15,-9999,9,,,,,,,,, 
21,Festuca arundinacea,168.84497,-44.025085,94,209,-9,3.964,9.340000153,,,,,,,,,
22,Festuca arundinacea,168.37201,-44.01886,114,217,15,4816,9,,,,,,,,,
23,Festuca arundinacea,172.13345,-43.898346,116,215,16,657,21.95000076,,,,,,,,,
24,Euphorbia helioscopia,172.25345,-43.81501,117,216,17,644,23,,,,,,,,,
25,Fumaria muralis,172.25345,-43.81501,117,216,17,644,23,,,,,,,,,
26,Festuca arundinacea,172.65813,-43.803455,118,219,18,706,23,,,,,,,,,
27,Festuca arundinacea,172.7509,-43.79424,105,207,8,1003,20,,,,,,,,,
28,Lycium barbarum,172.95013,-43.781677,111,211,15,1020,20,,,,,,,,,
29,Festuca arundinacea,172.44745,-43.739647,118,219,18,632,23,,,,,,,,,
30,Festuca arundinacea,170.08856,-43.731125,71,194,-34,3323,9,,,,,,,,,
31,Festuca arundinacea,172.89442,-43.68691,103,205,7,953,20,,,,,,,,,
32,Lycium barbarum,172.54736,-43.659073,118,220,17,635,23,,,,,,,,,
33,Fumaria muralis,172.47313,-43.64076,117,218,17,635,23,,,,,,,,,
34,Festuca arundinacea,169.43108,-43.63396,111,222,7,5316,10,,,,,,,,,
35,Fumaria muralis,172.48346,-43.63167,117,218,17,635,23,,,,,,,,,
36,Fumaria muralis,172.51045,-43.62292,118,220,17,635,23,,,,,,,,,
37,Euphorbia helioscopia,172.756,-43.566998,118,220,19,640,20,,,,,,,,,
38,Lycium barbarum,172.60887,-43.540493,119,220,18,614,22.70000076,,,,,,,,,
39,Festuca arundinacea,172.73386,-43.533646,118,219,18,620,21.1707325,,,,,,,,,
40,Fallopia convolvulus,172.63489,-43.533375,119,220,18,614,22.70000076,,,,,,,,,
41,Fumaria muralis,172.63489,-43.533375,119,220,18,614,22.70000076,,,,,,,,,
42,Fallopia convolvulus,172.50513,-43.53167,118,219,17,624,23,,,,,,,,,
43,Fallopia convolvulus,172.60345,-43.53167,119,220,18,614,22.70000076,,,,,,,,,
44,Festuca arundinacea,172.59784,-43.52425,119,220,18,614,22.70000076,,,,,,,,,
45,Festuca arundinacea,172.54851,-43.516834,118,219,17,624,23,,,,,,,,,
46,Galium palustre,172.68457,-43.49752,119,220,-9999,599,23,,,,,,,,,
47,Fallopia convolvulus,172.7217,-43.488617,119,220,20,599,23,,,,,,,,,
48,Fumaria muralis,172.7217,xxxxxx,119,xxxxxx,20,599,23,,,,,,,,,
49,Festuca arundinacea,172.69698,-43.488552,119,220,20,599,23,,,,,,,,,
50,Fallopia convolvulus,172.59807,-43.48825,119,220,19,610,23,,,,,,,,,
51,Festuca arundinacea,169.82162,-43.484005,121,226,18,4485,10,,,,,,,,,
52,Galium palustre,172.68588,-43.480423,119,220,20,599,23,,,,,,,,,
53,Festuca arundinacea,172.42758,-43.457226,116,217,15,663,22.72999954,,,,,,,,,
54,Festuca arundinacea,171.955,-43.44452,104,204,5,883,22.04000092,,,,,,,,,
55,Festuca arundinacea,172.19254,-43.44302,110,210,10,763,20.18000031,,,,,,,,,
56,Festuca arundinacea,170.17773,-43.418156,55,175,-45,3889,9,,,,,,,,,
57,Festuca arundinacea,169.84508,-43.400425,119,224,16,4516,10,,,,,,,,,
58,Festuca arundinacea,172.69768,-43.325,120,219,22,646,23,,,,,,,,,
59,Festuca arundinacea,172.70276,-43.322483,120,219,22,646,23,,,,,,,,,
60,Galium palustre,172.70168,-43.31933,120,219,22,646,23,,,,,,,,,
61,Festuca arundinacea,170.22054,-43.293125,114,217,12,4239,9.699999809,,,,,,,,,
62,Euphorbia helioscopia,172.58711,-43.281185,119,218,20,678,23,,,,,,,,,
63,Festuca arundinacea,172.72269,-43.272594,120,219,22,646,23,,,,,,,,,
64,Festuca arundinacea,-70.24,-43.21,83,227,-29,185,46,,,,,,,,,
65,Fumaria muralis,147.083,-43.1667,113,202,38,968,10.7704916,,,,,,,,,
66,Festuca arundinacea,147.833,-43.1667,109,187,44,1086,9,,,,,,,,,
67,Fumaria muralis,147.85,-43.15,117,195,49,986,9,,,,,,,,,
68,Festuca arundinacea,172.50958,-43.117046,99,199,3,831,13.60000038,,,,,,,,,
69,Fumaria muralis,147,-43.0833,113,211,31,869,10.71717167,,,,,,,,,
70,Festuca arundinacea,147.017,-43.0833,113,211,31,869,10.71717167,,,,,,,,,
71,Festuca arundinacea,172.78117,-43.075165,115,212,20,639,22,,,,,,,,,
72,Festuca arundinacea,173.07613,-43.062435,115,211,23,764,22,,,,,,,,,
73,Fumaria muralis,147.41,-43.0367,123,213,45,593,10.14285755,,,,,,,,,
74,Festuca arundinacea,172.70766,-43.021915,113,211,18,651,22,,,,,,,,,
75,Festuca arundinacea,147.033,-43.0167,113,211,31,869,10.71717167,,,,,,,,,
76,Festuca arundinacea,147.924,-43.015,106,186,39,1072,9,,,,,,,,,
77,Euphorbia helioscopia,147.248,-43.0144,104,198,28,1038,9,,,,,,,,,
78,Fumaria muralis,147.32,-43,119,212,40,740,9,,,,,,,,,
79,Festuca arundinacea,147.0833,-42.9833,102,201,21,948,13.85999966,,,,,,,,,
80,Festuca arundinacea,147.08,-42.98,102,201,21,948,13.85999966,,,,,,,,,
81,Ficus carica,147.417,-42.9333,124,215,44,598,11,,,,,,,,,
82,Euphorbia helioscopia,147.3167,-42.9167,112,209,32,856,9,,,,,,,,,
83,Fumaria muralis,147.3167,-42.9167,112,209,32,856,9,,,,,,,,,
84,Festuca arundinacea,147.333,-42.9167,112,209,32,856,9,,,,,,,,,
85,Fumaria muralis,147.4833,-42.9167,124,215,44,598,11,,,,,,,,,
86,Festuca arundinacea,147.233,-42.9,78,174,6,1004,18.40999985,,,,,,,,,
87,Fumaria muralis,147.3,-42.9,114,214,31,769,10.49473667,,,,,,,,,
88,Euphorbia helioscopia,147.367,-42.8833,121,218,38,632,11,,,,,,,,,
89,Festuca arundinacea,147.359,-42.8722,121,218,38,632,11,,,,,,,,,
90,Fumaria muralis,147.8167,-42.8667,120,207,42,783,9,,,,,,,,,
91,Euphorbia helioscopia,147.3,-42.8,119,221,32,633,11,,,,,,,,,
92,Festuca arundinacea,147,-42.75,111,218,22,666,9.760000229,,,,,,,,,
93,Fumaria muralis,147.217,-42.7333,118,225,28,574,11,,,,,,,,,
94,Fumaria muralis,147.95,-42.7167,119,208,37,779,9,,,,,,,,,
95,Ficus carica,170.99666,-42.716686,120,205,29,3016,10,,,,,,,,,
96,Lycium barbarum,147.267,-42.7,119,223,29,592,11,,,,,,,,,
97,Festuca arundinacea,147.4,-42.5667,109,217,20,605,11,,,,,,,,,
98,Fumaria muralis,147.917,-42.5,124,217,37,661,9,,,,,,,,,
99,Festuca arundinacea,171.19228,-42.443954,119,204,30,2842,10,,,,,,,,,
100,Festuca arundinacea,173.55693,-42.33363,116,206,32,1085,10,,,,,,,,,
101,Galium palustre,146.4,-42.3,77,186,-3,1338,22,,,,,,,,,
102,Fumaria muralis,148,-42.3,126,221,37,582,9.571428299,,,,,,,,,
103,Festuca arundinacea,173.583,-42.3,69,169,-16,1223,10,,,,,,,,,
104,Festuca arundinacea,148.017,-42.2667,126,221,37,582,9.571428299,,,,,,,,,
105,Festuca arundinacea,148.05,-42.2,120,215,31,643,9,,,,,,,,,
106,Fumaria muralis,145.283,-42.1333,118,201,53,1767,9,,,,,,,,,
107,Festuca arundinacea,148.083,-42.0833,127,222,37,617,10.73999977,,,,,,,,,
108,Festuca arundinacea,146.767,-42.0667,66,177,-14,818,22,,,,,,,,,
109,Lycium barbarum,147.483,-42.0333,112,226,17,530,20.63999939,,,,,,,,,
110,Festuca arundinacea,148.2,-41.9667,128,217,43,717,11,,,,,,,,,
111,Festuca arundinacea,147.3167,-41.8667,114,232,17,578,11.15999985,,,,,,,,,
112,Festuca arundinacea,173.02795,-41.831665,64,166,-24,1647,10,,,,,,,,,
113,Festuca arundinacea,147.752,-41.8192,108,214,19,657,9.899999619,,,,,,,,,
114,Festuca arundinacea,173.04298,-41.815815,64,166,-24,1647,10,,,,,,,,,
115,Festuca arundinacea,147.8,-41.7,107,212,17,705,10.89999962,,,,,,,,,
116,Galium palustre,171.8,-41.6667,112,198,25,2525,10,,,,,,,,,
117,Galium palustre,147.967,-41.6167,113,214,24,702,10.56999969,,,,,,,,,
118,Festuca arundinacea,172.49068,-41.55224,76,174,-13,2439,10,,,,,,,,,
119,Galium palustre,146.633,-41.5333,108,220,18,1039,17.47999954,,,,,,,,,
120,Festuca arundinacea,172.0194,-41.52204,104,194,15,2480,10,,,,,,,,,
121,Festuca arundinacea,147.133,-41.4833,120,235,27,762,9.800000191,,,,,,,,,
122,Festuca arundinacea,172.0561,-41.459297,112,200,23,2314,10,,,,,,,,,
123,Festuca arundinacea,-71.55,-41.43,52,183,-42,1004,13,,,,,,,,,
124,Galium palustre,147.117,-41.4167,120,235,27,762,9.800000191,,,,,,,,,
125,Galium palustre,147.15,-41.4167,120,235,27,762,9.800000191,,,,,,,,,
126,Festuca arundinacea,147.117,-41.4,122,234,31,818,9.020833015,,,,,,,,,
127,Galium palustre,172.08347,-41.36495,123,210,33,1979,10,,,,,,,,,
128,Galium palustre,148.25,-41.3,129,220,41,849,23,,,,,,,,,
129,Festuca arundinacea,173.57405,-41.29874,118,216,19,1670,20,,,,,,,,,
130,Festuca arundinacea,174.77313,-41.287716,129,215,55,1168,20,,,,,,,,,
131,Festuca arundinacea,173.76022,-41.274513,119,218,22,1522,20,,,,,,,,,
132,Euphorbia helioscopia,174.75017,-41.264954,129,215,55,1168,20,,,,,,,,,
133,Festuca arundinacea,174.86516,-41.25162,128,215,53,1382,20,,,,,,,,,
134,Fumaria muralis,174.85016,-41.248287,125,213,50,1434,20,,,,,,,,,
135,Festuca arundinacea,173.31625,-41.237827,124,220,21,1424,10,,,,,,,,,
136,Festuca arundinacea,146.167,-41.2167,119,212,37,1046,23.01010132,,,,,,,,,
137,Galium palustre,148.3,-41.2,128,219,42,884,21.54545403,,,,,,,,,
138,Festuca arundinacea,146.9,-41.1833,126,228,40,904,3,,,,,,,,,
139,Festuca arundinacea,146.9,-41.18,126,228,40,904,3,,,,,,,,,
140,Euphorbia helioscopia,146.35,-41.175,125,218,41,932,23.0465107,,,,,,,,,
141,Euphorbia helioscopia,146.181,-41.1675,119,212,37,1046,23.01010132,,,,,,,,,
142,Festuca arundinacea,145.8,-41.15,114,206,37,1273,23,,,,,,,,,
143,Festuca arundinacea,146.1,-41.1333,124,215,44,999,24,,,,,,,,,
144,Fumaria muralis,146.817,-41.1333,128,226,45,811,4.690140724,,,,,,,,,
145,Festuca arundinacea,172.58934,-41.120445,69,169,-19,2693,10,,,,,,,,,
146,Fumaria muralis,147.483,-41.1167,124,230,37,906,11,,,,,,,,,
147,Euphorbia helioscopia,146.064,-41.1128,119,210,40,1105,23.54430389,,,,,,,,,
148,Fumaria muralis,146.064,-41.1128,119,210,40,1105,23.54430389,,,,,,,,,
149,Euphorbia helioscopia,146.2,-41.1,127,218,45,948,23.09090996,,,,,,,,,
150,Fumaria muralis,146.85,-41.1,125,226,42,864,10.56756783,,,,,,,,,
151,Festuca arundinacea,174.85464,-41.094185,128,216,52,1331,20,,,,,,,,,
152,Euphorbia helioscopia,145.9,-41.083333,121,211,44,1106,23,,,,,,,,,
153,Festuca arundinacea,175.20686,-41.046078,108,206,26,2030,20,,,,,,,,,
154,Festuca arundinacea,145.833,-41.0333,122,211,44,1123,23,,,,,,,,,
155,Fumaria muralis,145.833,-41.0333,122,211,44,1123,23,,,,,,,,,
156,Fumaria muralis,146.933,-41.0167,127,227,45,834,11,,,,,,,,,
157,Euphorbia helioscopia,145.720833,-40.991389,124,213,46,1073,23,,,,,,,,,
158,Fumaria muralis,145.717,-40.9833,124,213,46,1073,23,,,,,,,,,
159,Fumaria muralis,145.633333,-40.95,123,211,46,1130,23,,,,,,,,,
160,Festuca arundinacea,144.75,-40.9333,125,208,60,1245,24,,,,,,,,,
161,Festuca arundinacea,145.517,-40.9333,118,207,44,1242,12.39999962,,,,,,,,,
162,Festuca arundinacea,144.783,-40.9167,125,208,60,1245,24,,,,,,,,,
163,Festuca arundinacea,174.97691,-40.915123,130,221,49,1158,6,,,,,,,,,
164,Festuca arundinacea,144.6672,-40.9131,127,209,64,1118,9.5625,,,,,,,,,
165,Festuca arundinacea,144.6672,-40.913,127,209,64,1118,9.5625,,,,,,,,,
166,Festuca arundinacea,145.184,-40.9008,123,209,52,1122,21.79999924,,,,,,,,,
167,Festuca arundinacea,144.667,-40.9,127,209,64,1118,9.5625,,,,,,,,,
168,Galium palustre,147.9,-40.9,132,226,50,721,3,,,,,,,,,
169,Fumaria muralis,145.483,-40.8667,125,211,51,1079,4.125,,,,,,,,,
170,Galium palustre,172.76831,-40.848274,126,218,30,2179,10,,,,,,,,,
171,Fumaria muralis,147.633,-40.8333,132,228,50,690,3,,,,,,,,,
172,Festuca arundinacea,144.917,-40.7667,127,211,59,1123,7.384615421,,,,,,,,,
173,Fumaria muralis,175.31012,-40.59364,133,228,47,1112,19.71999931,,,,,,,,,
174,Fumaria muralis,147.883,-40.3167,135,224,58,719,9,,,,,,,,,
175,Festuca arundinacea,176.62354,-40.30866,133,234,40,1093,21,,,,,,,,,
176,Festuca arundinacea,176.66331,-40.291553,133,234,40,1093,21,,,,,,,,,
177,Fumaria muralis,148.2,-40.25,136,221,61,729,8.142857552,,,,,,,,,
178,Fumaria muralis,148.233,-40.2167,135,220,61,754,7.777777672,,,,,,,,,
179,Fallopia convolvulus,175.34685,-40.131596,131,227,45,949,22,,,,,,,,,
